attemptdate,attemptresult,userid,type,defsite,groupname,maxsessionuid
3/1/2020 5:36,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,873905
3/1/2020 5:40,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874502
3/1/2020 5:40,TIMEOUT,HBA1677,LIMITED,LA,QUICK REPORTING USER,874402
3/1/2020 5:41,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874502
3/1/2020 5:50,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874503
3/1/2020 5:50,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874503
3/1/2020 5:58,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,874003
3/1/2020 6:01,SYSLOGOUT,HBA1694,LIMITED,LA,MAINTENANCE TECHNICIAN,873902
3/1/2020 6:03,TIMEOUT,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,874103
3/1/2020 6:04,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,873906
3/1/2020 6:04,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,873906
3/1/2020 6:06,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874602
3/1/2020 6:06,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874602
3/1/2020 6:07,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874603
3/1/2020 6:07,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874603
3/1/2020 6:07,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874504
3/1/2020 6:07,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874504
3/1/2020 6:07,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,873907
3/1/2020 6:07,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,873907
3/1/2020 6:08,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874702
3/1/2020 6:08,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874702
3/1/2020 6:08,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874104
3/1/2020 6:08,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874104
3/1/2020 6:08,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874403
3/1/2020 6:08,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874403
3/1/2020 6:09,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874802
3/1/2020 6:09,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874802
3/1/2020 6:09,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874902
3/1/2020 6:09,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874902
3/1/2020 6:10,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874203
3/1/2020 6:10,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874203
3/1/2020 6:10,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,874003
3/1/2020 6:10,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874004
3/1/2020 6:10,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874004
3/1/2020 6:10,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874303
3/1/2020 6:11,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874303
3/1/2020 6:11,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,874005
3/1/2020 6:11,LOGOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,874005
3/1/2020 6:11,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,874803
3/1/2020 6:11,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,874803
3/1/2020 6:12,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,874006
3/1/2020 6:25,LOGIN,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874304
3/1/2020 6:27,LOGIN,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,873908
3/1/2020 6:28,LOGIN,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874105
3/1/2020 6:30,LOGIN,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874204
3/1/2020 6:32,LOGIN,HBA1691,LIMITED,TX,MAINTENANCE TECHNICIAN,874804
3/1/2020 6:40,TIMEOUT,HBA1691,LIMITED,TX,MAINTENANCE TECHNICIAN,874804
3/1/2020 6:49,TIMEOUT,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874105
3/1/2020 6:49,LOGIN,HBA1691,LIMITED,TX,MAINTENANCE TECHNICIAN,874106
3/1/2020 6:51,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,874006
3/1/2020 6:51,LOGIN,HBA1810,LIMITED,TX,QUICK REPORTING USER,874007
3/1/2020 6:54,TIMEOUT,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874204
3/1/2020 6:54,LOGIN,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874205
3/1/2020 6:54,LOGOUT,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874205
3/1/2020 6:54,LOGIN,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874206
3/1/2020 6:58,TIMEOUT,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874304
3/1/2020 7:00,RESTART,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,873908
3/1/2020 7:01,SYSLOGOUT,HBA1771,AUTHORIZED,TX,STOREROOM CLERK,874002
3/1/2020 7:06,TIMEOUT,HBA1691,LIMITED,TX,MAINTENANCE TECHNICIAN,874106
3/1/2020 7:06,TIMEOUT,HBA1810,LIMITED,TX,QUICK REPORTING USER,874007
3/1/2020 7:06,TIMEOUT,HBA1641,LIMITED,TX,MAINTENANCE TECHNICIAN,874206
3/1/2020 7:22,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875002
3/1/2020 7:22,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875003
3/1/2020 7:25,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875102
3/1/2020 7:31,LOGIN,HBA1621,AUTHORIZED,TX,IT ANALYST,875202
3/1/2020 7:32,LOGOUT,HBA1621,AUTHORIZED,TX,IT ANALYST,875202
3/1/2020 7:32,LOGIN,HBA2098,AUTHORIZED,TX,IT ANALYST,875302
3/1/2020 7:36,LOGIN,HBA2064,LIMITED,TX,QUICK REPORTING USER,875402
3/1/2020 7:42,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875102
3/1/2020 7:43,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875403
3/1/2020 7:43,TIMEOUT,HBA2064,LIMITED,TX,QUICK REPORTING USER,875402
3/1/2020 7:43,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875403
3/1/2020 7:43,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875502
3/1/2020 7:43,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875502
3/1/2020 7:43,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875602
3/1/2020 7:48,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875602
3/1/2020 7:48,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875004
3/1/2020 7:48,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875004
3/1/2020 7:49,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875303
3/1/2020 7:49,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875303
3/1/2020 7:51,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875003
3/1/2020 7:51,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875203
3/1/2020 7:51,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875203
3/1/2020 7:51,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875404
3/1/2020 7:51,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875404
3/1/2020 7:51,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875103
3/1/2020 7:52,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875103
3/1/2020 7:52,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875702
3/1/2020 7:52,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875702
3/1/2020 7:52,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875802
3/1/2020 7:53,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875802
3/1/2020 7:53,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875902
3/1/2020 7:53,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875902
3/1/2020 7:53,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,876002
3/1/2020 7:53,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,876002
3/1/2020 7:54,LOGIN,HBA1721,LIMITED,TX,MAINTENANCE TECHNICIAN,876003
3/1/2020 7:54,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,876102
3/1/2020 7:54,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,876102
3/1/2020 7:54,TIMEOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875002
3/1/2020 7:54,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875104
3/1/2020 7:54,LOGIN,HBA1621,AUTHORIZED,TX,IT ANALYST,875903
3/1/2020 7:54,LOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875104
3/1/2020 7:54,LOGOUT,HBA1621,AUTHORIZED,TX,IT ANALYST,875903
3/1/2020 8:06,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,875005
3/1/2020 8:06,LOGOUT,HBA2098,AUTHORIZED,TX,IT ANALYST,875302
3/1/2020 8:09,LOGIN,HBA2019,LIMITED,TX,ACCOUNTING,875304
3/1/2020 8:24,TIMEOUT,HBA1721,LIMITED,TX,MAINTENANCE TECHNICIAN,876003
3/1/2020 8:24,LOGIN,HBA2098,AUTHORIZED,TX,IT ANALYST,875305
3/1/2020 8:27,LOGIN,HBA1863,LIMITED,LA,CONTRACTOR,875405
3/1/2020 8:30,LOGOUT,HBA1863,LIMITED,LA,CONTRACTOR,875405
3/1/2020 8:35,LOGIN,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875904
3/1/2020 8:35,LOGIN,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875905
3/1/2020 8:39,TIMEOUT,HBA2019,LIMITED,TX,ACCOUNTING,875304
3/1/2020 8:41,LOGIN,HBA1858,AUTHORIZED,LA,STOREROOM CLERK,876004
3/1/2020 8:43,LOGIN,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875105
3/1/2020 8:50,LOGIN,HBA1688,LIMITED,LA,CONTRACTOR TECHNICIAN,876103
3/1/2020 8:55,TIMEOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875005
3/1/2020 9:00,TIMEOUT,HBA2098,AUTHORIZED,TX,IT ANALYST,875305
3/1/2020 9:03,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875306
3/1/2020 9:06,TIMEOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875904
3/1/2020 9:12,TIMEOUT,HBA1858,AUTHORIZED,LA,STOREROOM CLERK,876004
3/1/2020 9:13,TIMEOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875105
3/1/2020 9:23,SYSLOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875002
3/1/2020 9:34,TIMEOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875905
3/1/2020 9:34,LOGIN,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875906
3/1/2020 9:48,TIMEOUT,HBA1688,LIMITED,LA,CONTRACTOR TECHNICIAN,876103
3/1/2020 9:51,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875306
3/1/2020 9:56,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875307
3/1/2020 10:00,SYSLOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875303
3/1/2020 10:00,SYSLOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875104
3/1/2020 10:00,SYSLOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,876102
3/1/2020 10:01,SYSLOGOUT,HBA1621,AUTHORIZED,TX,IT ANALYST,875903
3/1/2020 10:01,SYSLOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875404
3/1/2020 10:01,SYSLOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875003
3/1/2020 10:04,TIMEOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875906
3/1/2020 10:04,LOGIN,HBA1847,AUTHORIZED,TX,MAINTENANCE SUPERVISOR,875308
3/1/2020 10:06,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875006
3/1/2020 10:07,LOGIN,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875907
3/1/2020 10:15,LOGIN,HBA1858,AUTHORIZED,LA,STOREROOM CLERK,876005
3/1/2020 10:29,LOGIN,HBA1790,LIMITED,TX,SENIOR STOREROOM CLERK,875205
3/1/2020 10:30,LOGIN,HBA1863,LIMITED,LA,CONTRACTOR,876006
3/1/2020 10:33,LOGOUT,HBA1863,LIMITED,LA,CONTRACTOR,876006
3/1/2020 10:36,SYSLOGOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875904
3/1/2020 10:36,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875006
3/1/2020 10:37,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875008
3/1/2020 10:43,LOGIN,HBA2124,AUTHORIZED,LA,PLANNER,876104
3/1/2020 10:56,LOGIN,HBA1829,AUTHORIZED,TX,ENGINEER,875009
3/1/2020 10:58,LOGOUT,HBA1829,AUTHORIZED,TX,ENGINEER,875009
3/1/2020 11:01,LOGIN,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875106
3/1/2020 11:01,TIMEOUT,HBA1790,LIMITED,TX,SENIOR STOREROOM CLERK,875205
3/1/2020 11:07,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875008
3/1/2020 11:15,TIMEOUT,HBA1858,AUTHORIZED,LA,STOREROOM CLERK,876005
3/1/2020 11:27,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875206
3/1/2020 11:28,TIMEOUT,HBA2124,AUTHORIZED,LA,PLANNER,876104
3/1/2020 11:41,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875307
3/1/2020 11:43,LOGIN,HBA1829,AUTHORIZED,TX,ENGINEER,875010
3/1/2020 11:54,LOGIN,HBA2054,LIMITED,LA,QUICK REPORTING USER,876007
3/1/2020 11:58,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875206
3/1/2020 11:59,LOGOUT,HBA1829,AUTHORIZED,TX,ENGINEER,875010
3/1/2020 12:00,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875207
3/1/2020 12:00,SYSLOGOUT,HBA1688,LIMITED,LA,CONTRACTOR TECHNICIAN,876103
3/1/2020 12:01,SYSLOGOUT,HBA1658,AUTHORIZED,LA,IT ANALYST,875203
3/1/2020 12:08,TIMEOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875907
3/1/2020 12:14,LOGIN,HBA1637,AUTHORIZED,LA,PLANNER,876105
3/1/2020 12:15,LOGOUT,HBA1637,AUTHORIZED,LA,PLANNER,876105
3/1/2020 12:18,SYSLOGOUT,HBA1858,AUTHORIZED,LA,STOREROOM CLERK,876004
3/1/2020 12:30,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875207
3/1/2020 12:31,TIMEOUT,HBA1847,AUTHORIZED,TX,MAINTENANCE SUPERVISOR,875308
3/1/2020 12:37,TIMEOUT,HBA2054,LIMITED,LA,QUICK REPORTING USER,876007
3/1/2020 12:38,LOGIN,HBA1772,AUTHORIZED,TX,ENGINEER,875011
3/1/2020 12:44,TIMEOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875106
3/1/2020 12:54,LOGIN,HBA1649,LIMITED,LA,MAINTENANCE TECHNICIAN,875208
3/1/2020 13:00,SYSLOGOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875105
3/1/2020 13:01,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875209
3/1/2020 13:01,SYSLOGOUT,HBA1829,AUTHORIZED,TX,ENGINEER,875009
3/1/2020 13:05,LOGOUT,HBA1649,LIMITED,LA,MAINTENANCE TECHNICIAN,875208
3/1/2020 13:11,LOGIN,HBA1717,AUTHORIZED,LA,PLANNER,875107
3/1/2020 13:13,LOGOUT,HBA1717,AUTHORIZED,LA,PLANNER,875107
3/1/2020 13:13,TIMEOUT,HBA1772,AUTHORIZED,TX,ENGINEER,875011
3/1/2020 13:22,LOGIN,HBA1691,LIMITED,TX,MAINTENANCE TECHNICIAN,875406
3/1/2020 13:27,LOGIN,HBA1772,AUTHORIZED,TX,ENGINEER,875012
3/1/2020 13:31,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875209
3/1/2020 13:42,TIMEOUT,HBA1691,LIMITED,TX,MAINTENANCE TECHNICIAN,875406
3/1/2020 13:42,LOGIN,HBA1979,LIMITED,TX,MAINTENANCE SUPERVISOR,875407
3/1/2020 13:44,LOGIN,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,875210
3/1/2020 13:47,LOGOUT,HBA1772,AUTHORIZED,TX,ENGINEER,875012
3/1/2020 13:51,LOGOUT,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,875210
3/1/2020 13:51,LOGIN,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,875211
3/1/2020 13:51,LOGOUT,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,875211
3/1/2020 13:51,LOGIN,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,875212
3/1/2020 14:00,SYSLOGOUT,HBA1829,AUTHORIZED,TX,ENGINEER,875010
3/1/2020 14:00,SYSLOGOUT,HBA2124,AUTHORIZED,LA,PLANNER,876104
3/1/2020 14:13,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875213
3/1/2020 14:16,LOGOUT,HBA1979,LIMITED,TX,MAINTENANCE SUPERVISOR,875407
3/1/2020 14:19,LOGIN,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875013
3/1/2020 14:20,TIMEOUT,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,875212
3/1/2020 14:20,LOGIN,HBA1794,LIMITED,LA,MAINTENANCE SUPERVISOR,875214
3/1/2020 14:21,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875908
3/1/2020 14:24,LOGIN,HBA1979,LIMITED,TX,MAINTENANCE SUPERVISOR,875408
3/1/2020 14:26,LOGOUT,HBA1979,LIMITED,TX,MAINTENANCE SUPERVISOR,875408
3/1/2020 14:43,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875213
3/1/2020 14:46,LOGIN,HBA1858,AUTHORIZED,LA,STOREROOM CLERK,876008
3/1/2020 14:48,LOGIN,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875108
3/1/2020 14:48,LOGIN,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875109
3/1/2020 14:48,LOGIN,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875110
3/1/2020 14:48,LOGIN,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875111
3/1/2020 14:54,TIMEOUT,HBA1794,LIMITED,LA,MAINTENANCE SUPERVISOR,875214
3/1/2020 15:01,SYSLOGOUT,HBA1863,LIMITED,LA,CONTRACTOR,875405
3/1/2020 15:04,LOGIN,HBA2139,LIMITED,LA,CONTRACTOR,876106
3/1/2020 15:04,LOGIN,HBA1755,AUTHORIZED,LA,PLANNER,876107
3/1/2020 15:12,LOGIN,HBA1696,LIMITED,LA,MAINTENANCE TECHNICIAN,875014
3/1/2020 15:19,TIMEOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875108
3/1/2020 15:19,TIMEOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875110
3/1/2020 15:19,TIMEOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875109
3/1/2020 15:22,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875908
3/1/2020 15:22,LOGIN,HBA1863,LIMITED,LA,CONTRACTOR,875409
3/1/2020 15:23,LOGIN,HBA2101,LIMITED,LA,MAINTENANCE TECHNICIAN,875909
3/1/2020 15:28,LOGOUT,HBA1696,LIMITED,LA,MAINTENANCE TECHNICIAN,875014
3/1/2020 15:30,LOGOUT,HBA1755,AUTHORIZED,LA,PLANNER,876107
3/1/2020 15:30,TIMEOUT,HBA1858,AUTHORIZED,LA,STOREROOM CLERK,876008
3/1/2020 15:32,TIMEOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875013
3/1/2020 15:32,LOGIN,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875015
3/1/2020 15:32,LOGOUT,HBA1863,LIMITED,LA,CONTRACTOR,875409
3/1/2020 15:37,LOGOUT,HBA2101,LIMITED,LA,MAINTENANCE TECHNICIAN,875909
3/1/2020 15:39,LOGIN,HBA1847,AUTHORIZED,TX,MAINTENANCE SUPERVISOR,875309
3/1/2020 15:39,LOGOUT,HBA1847,AUTHORIZED,TX,MAINTENANCE SUPERVISOR,875309
3/1/2020 15:39,LOGIN,HBA1847,AUTHORIZED,TX,MAINTENANCE SUPERVISOR,875310
3/1/2020 15:40,LOGOUT,HBA1847,AUTHORIZED,TX,MAINTENANCE SUPERVISOR,875310
3/1/2020 15:42,LOGIN,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,875112
3/1/2020 15:46,LOGOUT,HBA2139,LIMITED,LA,CONTRACTOR,876106
3/1/2020 15:48,LOGIN,HBA1727,LIMITED,TX,QUICK REPORTING USER,875016
3/1/2020 15:57,TIMEOUT,HBA1727,LIMITED,TX,QUICK REPORTING USER,875016
3/1/2020 16:00,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875910
3/1/2020 16:00,SYSLOGOUT,HBA1772,AUTHORIZED,TX,ENGINEER,875012
3/1/2020 16:00,SYSLOGOUT,HBA1717,AUTHORIZED,LA,PLANNER,875107
3/1/2020 16:01,SYSLOGOUT,HBA2054,LIMITED,LA,QUICK REPORTING USER,876007
3/1/2020 16:01,SYSLOGOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875907
3/1/2020 16:03,LOGIN,HBA1821,LIMITED,LA,MAINTENANCE TECHNICIAN,875410
3/1/2020 16:04,TIMEOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875111
3/1/2020 16:04,LOGOUT,HBA1821,LIMITED,LA,MAINTENANCE TECHNICIAN,875410
3/1/2020 16:04,LOGIN,HBA1765,LIMITED,LA,QUICK REPORTING USER,876009
3/1/2020 16:10,TIMEOUT,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,875112
3/1/2020 16:10,LOGIN,HBA1721,LIMITED,TX,MAINTENANCE TECHNICIAN,875113
3/1/2020 16:11,LOGIN,HBA1831,LIMITED,LA,CONTRACTOR TECHNICIAN,875411
3/1/2020 16:13,LOGOUT,HBA1831,LIMITED,LA,CONTRACTOR TECHNICIAN,875411
3/1/2020 16:21,LOGIN,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875114
3/1/2020 16:23,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875215
3/1/2020 16:23,LOGIN,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875216
3/1/2020 16:27,TIMEOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,875015
3/1/2020 16:27,LOGIN,HBA1795,LIMITED,TX,QUICK REPORTING USER,875217
3/1/2020 16:32,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875910
3/1/2020 16:48,SYSLOGOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875109
3/1/2020 16:48,SYSLOGOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875108
3/1/2020 16:48,SYSLOGOUT,HBA2062,AUTHORIZED,LA,STOREROOM CLERK,875110
3/1/2020 16:53,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875216
3/1/2020 16:53,TIMEOUT,HBA1929,AUTHORIZED,TX,STOREROOM CLERK,875215
3/1/2020 17:00,SYSLOGOUT,HBA1979,LIMITED,TX,MAINTENANCE SUPERVISOR,875408
3/1/2020 17:00,SYSLOGOUT,HBA1847,AUTHORIZED,TX,MAINTENANCE SUPERVISOR,875308
3/1/2020 17:00,SYSLOGOUT,HBA1637,AUTHORIZED,LA,PLANNER,876105
